"repository","url","category","priority","audit_level","size_kb","default_branch","archived","updated_at","description","recommended_action"
"tehSite","https://github.com/AvaTar-ArTs/tehSite","business-commerce","P3","profile","2","main","false","","","Document audience, deployment, product, and revenue role"
"AvaTar-ArTs.github.io","https://github.com/AvaTar-ArTs/AvaTar-ArTs.github.io","creator-ip","P1","profile","3","main","false","","","Add README, status, rights/provenance, and next deliverable"
"lyra-exporter","https://github.com/AvaTar-ArTs/lyra-exporter","automation-platform","P2","profile","37213","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"FastChat","https://github.com/AvaTar-ArTs/FastChat","agent-ai","P2","profile","32162","main","false","","","Classify runtime/reference/experiment and document boundary"
"gorilla","https://github.com/AvaTar-ArTs/gorilla","reference-upstream","P2","profile","380093","main","false","","","Mark upstream/reference and preserve attribution"
"linear-programming-course","https://github.com/AvaTar-ArTs/linear-programming-course","reference-upstream","P2","profile","371","main","false","","","Mark upstream/reference and preserve attribution"
"llm-datasets","https://github.com/AvaTar-ArTs/llm-datasets","agent-ai","P2","profile","105","main","false","","","Classify runtime/reference/experiment and document boundary"
"tinytuner","https://github.com/AvaTar-ArTs/tinytuner","agent-ai","P2","profile","40","main","false","","","Classify runtime/reference/experiment and document boundary"
"AVATARARTS","https://github.com/AvaTar-ArTs/AVATARARTS","creator-ip","P0","deep","2536898","main","false","","","Extract canon, rights, provenance, and reusable media"
"obsidian-quiz-generator","https://github.com/AvaTar-ArTs/obsidian-quiz-generator","automation-platform","P2","profile","14333","master","false","","","Decide retain/archive/extract and document inputs/outputs"
"VAULT-OPS-PRO","https://github.com/AvaTar-ArTs/VAULT-OPS-PRO","automation-platform","P3","profile","0","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"trend-pulse-pro","https://github.com/AvaTar-ArTs/trend-pulse-pro","business-commerce","P3","profile","11","main","false","","","Document audience, deployment, product, and revenue role"
"ToolUniverse","https://github.com/AvaTar-ArTs/ToolUniverse","agent-ai","P2","profile","29282","main","false","","","Classify runtime/reference/experiment and document boundary"
"qwen-code","https://github.com/AvaTar-ArTs/qwen-code","agent-ai","P2","profile","34252","main","false","","","Classify runtime/reference/experiment and document boundary"
"notebooklm-mcp","https://github.com/AvaTar-ArTs/notebooklm-mcp","agent-ai","P2","profile","170","main","false","","","Classify runtime/reference/experiment and document boundary"
"notebooklm-skill","https://github.com/AvaTar-ArTs/notebooklm-skill","agent-ai","P2","profile","350","main","false","","","Classify runtime/reference/experiment and document boundary"
"notebooklm-skill-og","https://github.com/AvaTar-ArTs/notebooklm-skill-og","agent-ai","P2","profile","203","master","false","","","Classify runtime/reference/experiment and document boundary"
"notebooklm-youtube-skill-og","https://github.com/AvaTar-ArTs/notebooklm-youtube-skill-og","agent-ai","P3","profile","9","main","false","","","Classify runtime/reference/experiment and document boundary"
"notebooklm-youtube-skill","https://github.com/AvaTar-ArTs/notebooklm-youtube-skill","agent-ai","P3","profile","0","main","false","","","Classify runtime/reference/experiment and document boundary"
"Personal","https://github.com/AvaTar-ArTs/Personal","automation-platform","P3","profile","0","main","false","","","Decide retain/archive/extract and document inputs/outputs"
"nano-banana-hackathon-kit","https://github.com/AvaTar-ArTs/nano-banana-hackathon-kit","agent-ai","P2","profile","624","main","false","","","Classify runtime/reference/experiment and document boundary"
"run-gemini-cli","https://github.com/AvaTar-ArTs/run-gemini-cli","agent-ai","P2","profile","529","main","false","","","Classify runtime/reference/experiment and document boundary"
"veo-3-nano-banana-gemini-api-quickstart","https://github.com/AvaTar-ArTs/veo-3-nano-banana-gemini-api-quickstart","agent-ai","P2","profile","3071","main","false","","","Classify runtime/reference/experiment and document boundary"
"tableau-mcp","https://github.com/AvaTar-ArTs/tableau-mcp","agent-ai","P2","profile","15230","main","false","","","Classify runtime/reference/experiment and document boundary"
